"X1e2","X1e3","X1e4","X1e5","X1e6"
0.194276836505222,0.186874458050408,0.147160038207936,0.159958390997626,0.152163253674191
0.206329619563146,NA,NA,0.16258683950531,NA
0.233716651557384,0.156862082940893,0.160433254921864,0.167204001700079,0.153443210941064
NA,0.158858867081767,0.169794424662992,NA,0.162475009498804
0.212690017228691,0.192241762722222,0.140351789737267,0.16376595770087,0.15746080099249
0.166391064942062,0.170579661987767,0.169155211616937,0.157278511587589,NA
0.185679139021011,0.172003098830306,0.157676472899356,NA,0.16560090462175
0.18014658136821,0.163545849507021,0.160817788550835,0.164104138744446,NA
NA,0.203587776318056,0.16758397693485,0.16769763286278,NA
0.248379216716486,0.194377366540183,NA,NA,NA
0.155941975224141,0.173982211800095,0.156182707496279,0.178554541168552,0.148784787103536
0.207746094256173,0.181544342683468,NA,NA,0.160942462246457
0.157048139697164,0.149276868600201,NA,0.159600847544914,0.15797492615948
NA,0.179357661292157,0.156535723464017,NA,0.156473458996614
0.160234442399512,0.160831735289582,NA,NA,0.17271724300433
NA,NA,NA,0.166822640325327,0.152298509848005
0.225576067037164,NA,0.164043815265711,0.154463337288414,0.163043549579027
0.248802709674726,0.191696423783509,0.163605902295476,0.158615469895673,NA
0.196894713744646,0.175104488325823,NA,0.161172186881392,0.157139250161325
0.247812230090359,0.184912095016418,0.160120954629633,NA,0.161937002611382
0.211307715217973,0.162025136179976,NA,0.156868885243309,0.159029477810313
0.19353190635587,0.171374950065533,0.155375351223249,NA,NA
0.157937218117411,0.169280824019899,0.160554077280286,0.165704254775945,0.158362540240611
0.269611334858294,0.156919189129928,0.158871933827099,0.169615517714526,0.167532505729546
0.197646243377044,0.19719850131174,0.159862722817882,0.155156290924536,NA
0.202060521178642,0.174939224944134,0.170166823964273,0.16900268315007,NA
NA,0.182584052664161,NA,0.156924522772867,NA
0.213214174367153,0.180196763587581,NA,0.169138376438564,NA
NA,0.147817610908377,0.156305927761097,0.175190962515275,NA
0.206120984790815,0.170706667930172,0.165611449650037,NA,0.145463979803826
0.274243061276042,NA,0.168826156623522,0.146480154125652,0.162977128726192
0.307292318650203,0.162145982796027,0.152910520609293,0.158053438378759,0.156454459555659
0.204802775687257,0.180229011984922,NA,NA,0.167310058181043
0.232350410083454,0.171717899118113,0.159058757770977,0.154709750061099,0.166103929202673
0.182493640920436,NA,0.156866868697684,0.163817058616596,0.16838308270676
0.184412249726348,0.183412633140693,0.154639958124405,NA,0.155985858609108
0.293246599235128,0.169390375024477,0.157292915463155,NA,NA
0.190762064979242,0.16336725380253,0.171413516458764,0.175003411191717,NA
0.301189430969677,0.169830871180316,0.1560114046073,0.153805795189836,NA
0.216209196455815,0.162107806707551,0.151291094812485,NA,0.156726842923902
0.236639099555459,0.185127390060178,0.151735391230648,0.172354617781916,NA
0.278849826595025,NA,0.181990703421245,0.152934004658152,0.159347118907734
0.196519468382719,0.199802191909786,NA,0.172227826401187,NA
